country;cellphone;pcs;pcapincome;lncellphone;lnpc;lnincome
Argentina;17.76;8.2;11410;2.87694873756402;2.10413415427021;9.34224544285612
Australia;71.95;60.18;28780;4.27597143333338;4.0973400712019;10.2674359804414
Belgium;79.28;31.81;28920;4.37298589002173;3.45978070576105;10.2722886762727
Brazil;26.36;7.48;7510;3.27184770963431;2.01223279198639;8.92399074475818
Bulgaria;46.64;5.19;75.4;3.84245854204224;1.6467336971778;4.32280727501391
Canada;41.9;48.7;30040;3.73528582692809;3.88567903008854;10.3102851058781
China;21.48;2.76;4980;3.06712226964066;1.01523067972906;8.5131851700187
Colombia;14.13;4.93;6410;2.64830019669644;1.5953389880546;8.76561454991472
CzechRep;96.46;17.74;15600;4.56912841464083;2.87582197688143;9.65502619323763
Ecuador;18.92;3.24;3940;2.94021956362373;1.17557332980424;8.27893600229198
Egypt;8.45;2.91;3940;2.13416644136908;1.0681530811834;8.27893600229198
France;69.59;34.71;27640;4.24262087885676;3.54702782987369;10.2270192778816
Germany;78.52;48.47;27610;4.36335336940826;3.88094504985728;10.2259333049242
Greece;90.23;8.17;19900;4.50236196600641;2.10046890887191;9.89847501071258
Guatemala;13.15;1.44;4090;2.57642175862377;0.364643113587909;8.31630024903685
Hungary;76.88;10.84;13840;4.34224576466204;2.3832429960115;9.53531822917166
India;2.47;0.72;2880;0.904218150639886;-0.328504066972036;7.96554557312999
Indonesia;8.74;1.19;3210;2.16791018966744;0.173953307123438;8.07402621612406
Italy;101.76;23.07;26,830;4.62261709959181;3.13853307218566;10.1972759434197
Japan;67.9;38.22;28450;4.21803603456465;3.64335893881213;10.2559034395545
Mexico;29.47;8.3;8980;3.3833727967496;2.11625551480255;9.10275516129625
Netherlands;76.76;46.66;28560;4.3406836711395;3.84288726659328;10.2597624164535
Pakistan;1.75;0.42;2040;0.559615787935423;-0.867500567704723;7.62070508683826
Poland;45.09;14.2;11210;3.80866049243299;2.65324196460721;9.32456151606621
Russia;24.93;8.87;8950;3.21607189753547;2.18267479632149;9.0994088112689
SaudiaArabia;32.11;13.67;13230;3.46916750810142;2.61520365073586;9.490242257109
SouthAfrica;36.36;7.26;10130;3.59346926930928;1.9823798288367;9.22325659724273
Spain;91.61;19.6;22150;4.51754043602712;2.97552956623647;10.0055927754733
Sweden;98.05;62.13;26710;4.58547755264236;4.1292289640756;10.192793306104
Switzerland;84.34;70.87;32220;4.43485624831841;4.26084721282216;10.380342656731
Thailand;39.42;3.98;7450;3.67427330172457;1.38128181929635;8.91596931137361
UK;91.17;40.57;27690;4.51272589559681;3.70302887721836;10.228826616165
USA;54.58;65.98;37750;3.99966751528019;4.18935166580044;10.5387407546772
Venezuela;27.3;6.09;4750;3.30688670219091;1.80664808172181;8.46589989702869
